#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60 160
# Band-Index:    1
   0.00000    -62.358846  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.03776    -62.358594  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.07551    -62.357847  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.11327    -62.356607  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.15102    -62.354884  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.18878    -62.352694  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.22653    -62.350060  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.26429    -62.347003  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.30204    -62.343542  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.33980    -62.339716  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.37755    -62.335561  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.41531    -62.331103  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.45306    -62.326389  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.49082    -62.321452  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.52857    -62.316341  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.56633    -62.311093  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.60408    -62.305746  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.64184    -62.300358  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.67959    -62.294960  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.71735    -62.289660  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.71735    -62.289660  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.73915    -62.289621  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.76095    -62.289495  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.78275    -62.289283  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.80454    -62.288987  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.82634    -62.288608  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.84814    -62.288148  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.86994    -62.287606  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.89174    -62.286987  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.91354    -62.286289  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.93534    -62.285517  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.95714    -62.284676  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.97893    -62.283763  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.00073    -62.282782  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.02253    -62.281734  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.04433    -62.280626  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.06613    -62.279462  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.08793    -62.278244  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.10973    -62.276974  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.13153    -62.275713  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.13153    -62.275713  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.17512    -62.281103  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.21872    -62.286867  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.26232    -62.292827  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.30592    -62.298912  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.34951    -62.305042  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.39311    -62.311149  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.43671    -62.317155  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.48031    -62.322986  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.52390    -62.328576  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.56750    -62.333851  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.61110    -62.338760  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.65470    -62.343235  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.69830    -62.347229  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.74189    -62.350693  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.78549    -62.353580  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.82909    -62.355862  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.87269    -62.357514  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.91628    -62.358510  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   1.95988    -62.358846  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
 
# Band-Index:    2
   1.95988    -62.233581  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.91628    -62.233749  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.87269    -62.234260  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.82909    -62.235102  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.78549    -62.236268  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.74189    -62.237743  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.69830    -62.239506  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.65470    -62.241539  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.61110    -62.243817  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.56750    -62.246310  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.52390    -62.248990  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.48031    -62.251820  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.43671    -62.254771  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.39311    -62.257810  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.34951    -62.260886  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.30592    -62.263979  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.26232    -62.267039  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.21872    -62.270036  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.17512    -62.272925  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.13153    -62.275564  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.13153    -62.275564  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.10973    -62.276878  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.08793    -62.278146  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.06613    -62.279362  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.04433    -62.280524  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.02253    -62.281630  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.00073    -62.282676  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.97893    -62.283655  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.95714    -62.284566  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.93534    -62.285406  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.91354    -62.286177  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.89174    -62.286873  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.86994    -62.287491  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.84814    -62.288032  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.82634    -62.288491  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.80454    -62.288869  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.78275    -62.289164  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.76095    -62.289376  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.73915    -62.289502  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.71735    -62.289540  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.71735    -62.289540  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.67959    -62.284325  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.64184    -62.279164  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.60408    -62.274164  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.56633    -62.269349  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.52857    -62.264765  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.49082    -62.260432  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.45306    -62.256380  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
