# Time(fs) Population Fitted_Population
0.000000000000000000e+00 9.399999999999999467e-01 8.451919111778642968e-01
1.000000000000000000e+00 9.299779999999997493e-01 8.392245932988305901e-01
2.000000000000000000e+00 9.277799999999994940e-01 8.332994065407867135e-01
3.000000000000000000e+00 9.135999999999994126e-01 8.274160534449090942e-01
4.000000000000000000e+00 9.038819999999995192e-01 8.215742386525259899e-01
5.000000000000000000e+00 8.977099999999998969e-01 8.157736688902900157e-01
6.000000000000000000e+00 8.940939999999997223e-01 8.100140529554546998e-01
7.000000000000000000e+00 8.774159999999995296e-01 8.042951017012555104e-01
8.000000000000000000e+00 8.519280000000000186e-01 7.986165280223942453e-01
9.000000000000000000e+00 8.524639999999995554e-01 7.929780468406251170e-01
1.000000000000000000e+01 8.387459999999997695e-01 7.873793750904437561e-01
1.100000000000000000e+01 8.206639999999993940e-01 7.818202317048762451e-01
1.200000000000000000e+01 8.185979999999999368e-01 7.763003376013688506e-01
1.300000000000000000e+01 7.993319999999997094e-01 7.708194156677776743e-01
1.400000000000000000e+01 7.974859999999995841e-01 7.653771907484567816e-01
1.500000000000000000e+01 7.929219999999994606e-01 7.599733896304444736e-01
1.600000000000000000e+01 7.774099999999997124e-01 7.546077410297479249e-01
1.700000000000000000e+01 7.691639999999996258e-01 7.492799755777233006e-01
1.800000000000000000e+01 7.711979999999999391e-01 7.439898258075535731e-01
1.900000000000000000e+01 7.718539999999998180e-01 7.387370261408204852e-01
2.000000000000000000e+01 7.645160000000000844e-01 7.335213128741721045e-01
2.100000000000000000e+01 7.522639999999998217e-01 7.283424241660840792e-01
2.200000000000000000e+01 7.518219999999999903e-01 7.232001000237150423e-01
2.300000000000000000e+01 7.457019999999998650e-01 7.180940822898533860e-01
2.400000000000000000e+01 7.462240000000001094e-01 7.130241146299586275e-01
2.500000000000000000e+01 7.400620000000001086e-01 7.079899425192908158e-01
2.600000000000000000e+01 7.310080000000001021e-01 7.029913132301347511e-01
2.700000000000000000e+01 7.240500000000001934e-01 6.980279758191112460e-01
2.800000000000000000e+01 7.215139999999997666e-01 6.930996811145793135e-01
2.900000000000000000e+01 7.048459999999999726e-01 6.882061817041275065e-01
3.000000000000000000e+01 6.983179999999998833e-01 6.833472319221526314e-01
3.100000000000000000e+01 6.815340000000001952e-01 6.785225878375275022e-01
3.200000000000000000e+01 6.748659999999998549e-01 6.737320072413545136e-01
3.300000000000000000e+01 6.676019999999996957e-01 6.689752496348059241e-01
3.400000000000000000e+01 6.524799999999996158e-01 6.642520762170509574e-01
