# Time(fs) Normalized_Population Fitted_Population
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 9.893382978723401777e-01 9.920789582988897015e-01
2.000000000000000000e+00 9.869999999999995444e-01 9.842206594994100666e-01
3.000000000000000000e+00 9.719148936170206587e-01 9.764246066124209200e-01
4.000000000000000000e+00 9.615765957446803514e-01 9.686903065854537420e-01
5.000000000000000000e+00 9.550106382978722497e-01 9.610172702715289450e-01
6.000000000000000000e+00 9.511638297872337944e-01 9.534050123982209524e-01
7.000000000000000000e+00 9.334212765957442537e-01 9.458530515369670821e-01
8.000000000000000000e+00 9.063063829787234571e-01 9.383609100726203467e-01
9.000000000000000000e+00 9.068765957446803805e-01 9.309281141732432818e-01
1.000000000000000000e+01 8.922829787234040078e-01 9.235541937601410289e-01
1.100000000000000000e+01 8.730468085106376508e-01 9.162386824781315608e-01
1.200000000000000000e+01 8.708489361702127507e-01 9.089811176660519410e-01
1.300000000000000000e+01 8.503531914893613930e-01 9.017810403274972852e-01
1.400000000000000000e+01 8.483893617021273093e-01 8.946379951017925380e-01
1.500000000000000000e+01 8.435340425531909769e-01 8.875515302351933977e-01
1.600000000000000000e+01 8.270319148936167153e-01 8.805211975523161705e-01
1.700000000000000000e+01 8.182595744680847272e-01 8.735465524277926663e-01
1.800000000000000000e+01 8.204234042553191220e-01 8.666271537581510254e-01
1.900000000000000000e+01 8.211212765957445203e-01 8.597625639339181447e-01
2.000000000000000000e+01 8.133148936170213616e-01 8.529523488119440389e-01
2.100000000000000000e+01 8.002808510638296235e-01 8.461960776879445811e-01
2.200000000000000000e+01 7.998106382978723561e-01 8.394933232692624037e-01
2.300000000000000000e+01 7.932999999999998941e-01 8.328436616478429588e-01
2.400000000000000000e+01 7.938553191489363670e-01 8.262466722734249647e-01
2.500000000000000000e+01 7.873000000000001108e-01 8.197019379269434580e-01
2.600000000000000000e+01 7.776680851063830779e-01 8.132090446941432349e-01
2.700000000000000000e+01 7.702659574468088133e-01 8.067675819394007908e-01
