# Time [fs]    Et_avg [eV]    Ct_avg    Dt_avg    Gt_avg    Dt_fit_avg    Iw_avg
      0.0000     0.000299     0.055980     1.000000     0.000000     1.000000     0.332127
      1.0000     0.007836     0.052839     0.939666     0.062793     0.942948   225.578228
      2.0000     0.012684     0.049719     0.787666     0.247560     0.795796   302.472522
      3.0000     0.016787     0.046106     0.605024     0.546802     0.613647    55.230433
      4.0000     0.015852     0.043360     0.442675     0.952965     0.448404    11.658893
      5.0000     0.010540     0.039799     0.323202     1.458740     0.326413    24.455577
      6.0000     0.003345     0.036019     0.245923     2.056252     0.248967   200.386948
      7.0000    -0.006926     0.032168     0.199888     2.736860     0.204935   123.570024
      8.0000    -0.021599     0.028125     0.173513     3.491607     0.181759   361.147468
      9.0000    -0.039720     0.023958     0.158341     4.311200     0.170125   304.175148
     10.0000    -0.308392     0.019688     0.149182     5.186032     0.164326    71.453627
     11.0000    -0.311664     0.015872     0.143142     6.106570     0.161232    13.036423
     12.0000    -0.318170     0.012189     0.138691     7.063819     0.159264    16.276052
     13.0000    -0.338480     0.008587     0.135047     8.049249     0.157690    15.606841
     14.0000    -0.361322     0.005240     0.131833     9.054645     0.156201     3.995130
     15.0000    -0.475768     0.002164     0.128874    10.072292     0.154682    53.489077
     16.0000    -0.330183    -0.000822     0.126090    11.094986     0.153092   271.471632
     17.0000    -0.456285    -0.003341     0.123436    12.116051     0.151423   218.760710
     18.0000    -0.470256    -0.005664     0.120893    13.129517     0.149674   101.028808
     19.0000    -0.246154    -0.007664     0.118449    14.130096     0.147847    46.446736
     20.0000    -0.546182    -0.009460     0.116091    15.113104     0.145945     4.891368
     21.0000    -0.331794    -0.010774     0.113810    16.074554     0.143973    20.191010
     22.0000     0.162933    -0.011780     0.111602    17.011314     0.141933   204.471983
     23.0000    -0.301561    -0.012540     0.109461    17.921026     0.139828    72.077863
     24.0000    -0.142844    -0.012981     0.107382    18.801977     0.137664   106.379727
     25.0000    -0.609981    -0.013178     0.105359    19.653106     0.135443    95.986948
     26.0000    -0.620975    -0.013062     0.103388    20.473999     0.133170   368.890468
     27.0000     0.075909    -0.012828     0.101467    21.264810     0.130848   145.103989
     28.0000    -0.244656    -0.012439     0.099592    22.026102     0.128481   265.867516
     29.0000    -0.240854    -0.012140     0.097762    22.758631     0.126073   130.522145
     30.0000    -0.240910    -0.011620     0.095975    23.463266     0.123628   286.304176
     31.0000    -0.200228    -0.010872     0.094228    24.141211     0.121150   846.955855
     32.0000    -0.169777    -0.010033     0.092522    24.794116     0.118643   425.089505
     33.0000    -0.135231    -0.009154     0.090855    25.423887     0.116111   351.834064
     34.0000    -0.098840    -0.008213     0.089227    26.032564     0.113557    29.209482
     35.0000    -0.062492    -0.007249     0.087638    26.622298     0.110986    74.023661
     36.0000    -0.025123    -0.006191     0.086087    27.195355     0.108402    67.364923
     37.0000     0.011235    -0.005159     0.084576    27.754107     0.105807    51.505250
     38.0000     0.046278    -0.004172     0.083106    28.300924     0.103205    52.582311
     39.0000     0.080360    -0.003231     0.081678    28.838086     0.100601   354.348251
     40.0000     0.108510    -0.002409     0.080292    29.367721     0.097997  1365.953777
     41.0000     0.134031    -0.001538     0.078949    29.891824     0.095398  9300.997048
     42.0000     0.154945    -0.000607     0.077648    30.412411     0.092806   877.962832
     43.0000     0.165922     0.000395     0.076387    30.931639     0.090224   402.427492
     44.0000     0.186236     0.001222     0.075158    31.451677     0.087656   310.638536
     45.0000     0.191106     0.001977     0.073956    31.974495     0.085105   182.975255
     46.0000     0.190020     0.002786     0.072774    32.501908     0.082573   140.460939
     47.0000     0.186248     0.003896     0.071604    33.035925     0.080063    87.494109
     48.0000     0.177682     0.004989     0.070424    33.578925     0.077578    79.595285
     49.0000     0.165226     0.005880     0.069220    34.133325     0.075120    65.019536
     50.0000     0.148533     0.006848     0.067998    34.701340     0.072691    46.209548
     51.0000     0.129243     0.007553     0.066773    35.285009     0.070295    63.364201
     52.0000     0.110761     0.007914     0.065550    35.885913     0.067932    35.339592
     53.0000     0.089570     0.008215     0.064330    36.505049     0.065606    25.416316
     54.0000     0.068690     0.008319     0.063112    37.143032     0.063317    40.235796
     55.0000     0.048042     0.008381     0.061891    37.800194     0.061067    25.749437
     56.0000     0.027877     0.008261     0.060667    38.476596     0.058858    20.423600
     57.0000     0.008562     0.008086     0.059447    39.172033     0.056691    29.196384
     58.0000    -0.009564     0.007874     0.058239    39.886113     0.054568    24.310489
     59.0000    -0.025341     0.007596     0.057042    40.618329     0.052490    60.011956
     60.0000    -0.038268     0.007267     0.055858    41.368049     0.050457  1206.651819
     61.0000    -0.047836     0.006924     0.054691    42.134535     0.048471   172.060402
     62.0000    -0.053926     0.006306     0.053539    42.916844     0.046532    76.478322
     63.0000    -0.056861     0.005689     0.052405    43.713709     0.044641    71.783500
     64.0000    -0.057637     0.004836     0.051290    44.523569     0.042798    58.229975
     65.0000    -0.055813     0.003874     0.050197    45.344528     0.041004    48.635810
     66.0000    -0.052726     0.002933     0.049128    46.174441     0.039260    72.645379
     67.0000    -0.048892     0.001815     0.048085    47.011022     0.037564    49.844233
     68.0000    -0.044882     0.000677     0.047072    47.851780     0.035918    58.375237
     69.0000    -0.040812    -0.000480     0.046089    48.694090     0.034322    54.025663
     70.0000    -0.037415    -0.001503     0.045138    49.535368     0.032774    39.201677
     71.0000    -0.034710    -0.002618     0.044219    50.373124     0.031276    35.439034
     72.0000    -0.032410    -0.003771     0.043329    51.204816     0.029826    36.376594
     73.0000    -0.031757    -0.004984     0.042466    52.027769     0.028425    54.826572
     74.0000    -0.031034    -0.006012     0.041626    52.839324     0.027071    34.460255
     75.0000    -0.031172    -0.006611     0.040807    53.637249     0.025765    28.984343
     76.0000    -0.032080    -0.007092     0.040008    54.419982     0.024505    18.726026
     77.0000    -0.032914    -0.007083     0.039226    55.186628     0.023292    28.773982
     78.0000    -0.035574    -0.007027     0.038459    55.936951     0.022124    21.802070
     79.0000    -0.039518    -0.006855     0.037708    56.671121     0.021001    25.627727
     80.0000    -0.044787    -0.006578     0.036968    57.389529     0.019921    20.372824
     81.0000    -0.051498    -0.006164     0.036239    58.092833     0.018885    13.032851
     82.0000    -0.059829    -0.005630     0.035518    58.781978     0.017890    31.251180
     83.0000    -0.068861    -0.004948     0.034803    59.458213     0.016937    22.292808
     84.0000    -0.077981    -0.004153     0.034094    60.123094     0.016023    60.652024
     85.0000    -0.087252    -0.003061     0.033390    60.778559     0.015149    30.332538
     86.0000    -0.095445    -0.001792     0.032690    61.427060     0.014313    24.245058
     87.0000    -0.102053    -0.000272     0.031992    62.071569     0.013515    21.243098
     88.0000    -0.106632     0.000920     0.031293    62.715260     0.012752    17.103166
     89.0000    -0.109674     0.002178     0.030588    63.361113     0.012025    16.311413
     90.0000    -0.107533     0.003454     0.029874    64.012004     0.011331    15.632603
     91.0000    -0.103813     0.004596     0.029156    64.670790     0.010670    15.917492
     92.0000    -0.097214     0.005756     0.028436    65.340195     0.010041    17.959541
     93.0000    -0.085614     0.006651     0.027716    66.022733     0.009443    13.704101
     94.0000    -0.073712     0.007237     0.026997    66.720444     0.008875    15.318506
     95.0000    -0.054456     0.007708     0.026280    67.434794     0.008335    14.892714
     96.0000    -0.033709     0.007877     0.025564    68.166761     0.007823    12.685101
     97.0000    -0.010041     0.007918     0.024849    68.916835     0.007338    13.827140
     98.0000     0.015763     0.007893     0.024138    69.685148     0.006878    11.406057
     99.0000     0.043362     0.007453     0.023433    70.471438     0.006443     8.634427
    100.0000     0.071808     0.006848     0.022738    71.274836     0.006031    16.335617
    101.0000     0.099999     0.006162     0.022056    72.093993     0.005642    27.815412
    102.0000     0.126992     0.005374     0.021390    72.927314     0.005274    12.353064
    103.0000     0.152220     0.004454     0.020742    73.772963     0.004927    14.871621
    104.0000     0.175646     0.003304     0.020114    74.628760     0.004600    10.546248
    105.0000     0.194982     0.002061     0.019507    75.492129     0.004292     9.587301
    106.0000     0.210992     0.000667     0.018922    76.360167     0.004001    12.403170
    107.0000     0.222351    -0.000800     0.018361    77.229702     0.003728     6.909446
    108.0000     0.228571    -0.002294     0.017823    78.097375     0.003472    10.097718
    109.0000     0.230373    -0.003924     0.017308    78.959674     0.003230     8.792630
    110.0000     0.226658    -0.005331     0.016814    79.813045     0.003004    13.395387
    111.0000     0.215943    -0.006744     0.016341    80.654107     0.002791    10.115646
    112.0000     0.203146    -0.007916     0.015886    81.479742     0.002592     7.953727
    113.0000     0.185190    -0.009038     0.015449    82.287135     0.002406     7.379864
    114.0000     0.163052    -0.009968     0.015027    83.073777     0.002231     7.128781
    115.0000     0.137538    -0.010703     0.014619    83.837524     0.002068     8.223014
    116.0000     0.108842    -0.011216     0.014225    84.576695     0.001915    11.311759
    117.0000     0.079952    -0.011596     0.013843    85.290054     0.001773     7.597025
    118.0000     0.048742    -0.011782     0.013472    85.976758     0.001640     7.168882
    119.0000     0.018883    -0.011752     0.013114    86.636391     0.001516     9.912547
    120.0000    -0.008512    -0.011517     0.012767    87.269018     0.001400    15.134727
    121.0000    -0.033170    -0.011149     0.012431    87.875138     0.001292    11.638952
    122.0000    -0.053288    -0.010628     0.012107    88.455612     0.001192     7.743028
    123.0000    -0.068378    -0.009889     0.011795    89.011681     0.001099     7.358192
    124.0000    -0.078206    -0.008986     0.011495    89.545018     0.001013     7.275112
    125.0000    -0.082211    -0.007857     0.011206    90.057744     0.000932     8.112443
    126.0000    -0.080060    -0.006763     0.010928    90.552315     0.000858     6.609304
    127.0000    -0.071805    -0.005624     0.010661    91.031302     0.000789    12.625141
    128.0000    -0.057639    -0.004197     0.010404    91.497474     0.000725     9.577327
    129.0000    -0.038217    -0.002894     0.010156    91.953886     0.000665     7.681964
    130.0000    -0.014041    -0.001609     0.009917    92.403609     0.000611     9.821052
    131.0000     0.014306    -0.000345     0.009684    92.849606     0.000560     7.227598
    132.0000     0.046150     0.000877     0.009459    93.294782     0.000513     7.389860
    133.0000     0.079733     0.001932     0.009238    93.741885     0.000470     7.107553
    134.0000     0.114872     0.003007     0.009021    94.193460     0.000430     6.541270
    135.0000     0.150753     0.004082     0.008808    94.651974     0.000393     5.921164
    136.0000     0.186415     0.004644     0.008596    95.119613     0.000360     6.762733
    137.0000     0.219501     0.005311     0.008385    95.598031     0.000328     5.253121
    138.0000     0.250862     0.006081     0.008173    96.088769     0.000300     6.646812
    139.0000     0.272407     0.006611     0.007960    96.593404     0.000273     4.826461
    140.0000     0.273314     0.006620     0.007746    97.112999     0.000249     6.634217
    141.0000     0.274876     0.007059     0.007531    97.648122     0.000227     5.595329
    142.0000     0.276813     0.007372     0.007316    98.199466     0.000207     5.747876
    143.0000     0.279031     0.007480     0.007100    98.767708     0.000188     5.521765
    144.0000     0.281278     0.007410     0.006885    99.353114     0.000171     4.569917
    145.0000     0.282903     0.007013     0.006671    99.955435     0.000155     6.030820
    146.0000     0.284241     0.006493     0.006459   100.573872     0.000141     5.076641
    147.0000     0.285911     0.005890     0.006248   101.207248     0.000128     4.309725
    148.0000     0.284483     0.005400     0.006040   101.854285     0.000116     4.954484
    149.0000     0.284041     0.004759     0.005835   102.513698     0.000105     3.808048
    150.0000     0.282296     0.003966     0.005635   103.184007     0.000095     4.538687
    151.0000     0.271271     0.003161     0.005440   103.863464     0.000086     6.697736
    152.0000     0.243861     0.002027     0.005250   104.550027     0.000078     7.052272
    153.0000     0.215984     0.000910     0.005066   105.241279     0.000070     4.989683
    154.0000     0.181944    -0.000101     0.004887   105.934691     0.000064     4.805488
    155.0000     0.149017    -0.001189     0.004715   106.627826     0.000057     5.445375
    156.0000     0.114632    -0.002051     0.004549   107.318347     0.000052     4.008551
    157.0000     0.082256    -0.002924     0.004388   108.004129     0.000047     4.410738
    158.0000     0.052071    -0.003908     0.004234   108.683097     0.000042     4.762782
    159.0000     0.026418    -0.004933     0.004085   109.353023     0.000038     4.541216
    160.0000     0.003010    -0.006014     0.003941   110.011529     0.000034     4.085367
    161.0000    -0.015393    -0.007086     0.003803   110.656159     0.000031     5.235577
    162.0000    -0.029028    -0.008041     0.003671   111.284500     0.000027     5.333420
    163.0000    -0.039010    -0.008901     0.003543   111.894336     0.000025     5.551301
    164.0000    -0.043886    -0.009590     0.003421   112.483726     0.000022     4.188650
