Description,Parameter,Value
HER overpotential,xA(H2),0.58 V
OER overpotential,xB(O2),0.36 V
Minimum photon energy for water splitting,Critical Energy (E),2.41 eV
Absorbed photon flux integral,n_abs Numerator,1.8342e+21
Total photon flux integral,n_abs Denominator,6.2444e+21
Light absorption efficiency,n_abs,29.37%
Usable carrier flux integral,n_cu Numerator,5.6360e+20
Absorbed photon flux integral,n_cu Denominator,1.8342e+21
Carrier utilization efficiency,n_cu,30.73%
Polarization correction term,phi_term,6.4586e+17
Solar-to-Hydrogen efficiency,n_STH,9.03%
Corrected STH efficiency,n'_STH,9.02%
