Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -917.701     -917.701        0.000     0.0
0.0010         -917.698     -917.710        0.012     0.8
0.0020         -917.664     -917.746        0.082     5.1
0.0030         -917.507     -917.819        0.313    19.5
0.0040         -917.288     -917.928        0.640    39.9
0.0050         -917.086     -918.050        0.964    60.1
0.0060         -916.900     -918.167        1.267    79.0
0.0070         -916.729     -918.265        1.537    95.9
0.0080         -916.570     -918.333        1.763   110.0
0.0090         -916.421     -918.361        1.939   121.0
0.0100         -916.281     -918.343        2.062   128.7
0.0110         -916.145     -918.277        2.133   133.1
0.0120         -916.012     -918.164        2.153   134.3
0.0130         -915.879     -918.007        2.128   132.8
0.0140         -915.743     -917.810        2.067   129.0
0.0150         -915.605     -917.583        1.979   123.4
0.0160         -915.461     -917.334        1.873   116.9
0.0170         -915.312     -917.074        1.762   110.0
0.0180         -915.157     -916.814        1.656   103.3
0.0190         -914.998     -916.562        1.564    97.6
0.0200         -914.834     -916.329        1.494    93.2
0.0210         -914.668     -916.122        1.454    90.7
0.0220         -914.500     -915.947        1.448    90.3
0.0230         -914.332     -915.809        1.477    92.2
0.0240         -914.167     -915.710        1.544    96.3
0.0250         -914.005     -915.649        1.644   102.6
0.0260         -913.849     -915.623        1.774   110.7
0.0270         -913.701     -915.626        1.926   120.1
0.0280         -913.560     -915.652        2.092   130.5
0.0290         -913.427     -915.691        2.264   141.2
0.0300         -913.304     -915.738        2.434   151.9
0.0310         -913.188     -915.785        2.597   162.0
0.0320         -913.081     -915.829        2.748   171.5
0.0330         -912.981     -915.868        2.888   180.2
0.0340         -912.887     -915.903        3.015   188.1
0.0350         -912.800     -915.933        3.133   195.5
0.0360         -912.718     -915.961        3.243   202.3
0.0370         -912.642     -915.991        3.348   208.9
0.0380         -912.571     -916.024        3.452   215.4
0.0390         -912.505     -916.062        3.557   221.9
0.0400         -912.445     -916.109        3.664   228.6
0.0410         -912.390     -916.163        3.773   235.4
0.0420         -912.340     -916.225        3.885   242.4
0.0430         -912.296     -916.293        3.997   249.4
0.0440         -912.258     -916.364        4.106   256.2
0.0450         -912.225     -916.433        4.208   262.5
0.0460         -912.197     -916.496        4.299   268.2
0.0470         -912.173     -916.547        4.374   272.9
0.0480         -912.153     -916.580        4.428   276.3
0.0490         -912.134     -916.593        4.458   278.2
0.0500         -912.117     -916.580        4.463   278.4
0.0510         -912.099     -916.539        4.440   277.0
0.0520         -912.080     -916.471        4.392   274.0
0.0530         -912.058     -916.377        4.319   269.5
0.0540         -912.031     -916.258        4.227   263.7
0.0550         -912.000     -916.119        4.119   257.0
0.0560         -911.963     -915.965        4.002   249.7
0.0570         -911.921     -915.802        3.882   242.2
0.0580         -911.872     -915.638        3.766   235.0
0.0590         -911.818     -915.483        3.665   228.6
0.0600         -911.759     -915.348        3.589   223.9
0.0610         -911.697     -915.248        3.551   221.5
0.0620         -911.634     -915.195        3.560   222.1
0.0630         -911.573     -915.198        3.626   226.2
0.0640         -911.516     -915.265        3.749   233.9
0.0650         -911.466     -915.396        3.929   245.1
0.0660         -911.427     -915.585        4.158   259.4
0.0670         -911.399     -915.824        4.424   276.0
0.0680         -911.386     -916.101        4.715   294.1
0.0690         -911.387     -916.397        5.010   312.6
0.0700         -911.403     -916.691        5.288   329.9
0.0710         -911.432     -916.959        5.527   344.8
0.0720         -911.472     -917.180        5.708   356.1
0.0730         -911.520     -917.338        5.819   363.0
0.0740         -911.571     -917.424        5.853   365.2
0.0750         -911.623     -917.435        5.813   362.7
0.0760         -911.671     -917.373        5.702   355.8
0.0770         -911.712     -917.243        5.531   345.0
0.0780         -911.744     -917.052        5.307   331.1
0.0790         -911.764     -916.807        5.043   314.7
0.0800         -911.770     -916.520        4.750   296.4
