Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -445.2173    -445.2173       0.0000     0.0
0.0010        -445.2170    -445.2188       0.0018     0.2
0.0020        -445.2121    -445.2240       0.0119     1.0
0.0030        -445.1884    -445.2349       0.0466     4.0
0.0040        -445.1053    -445.2541       0.1488    12.8
0.0050        -444.9441    -445.2825       0.3384    29.1
0.0060        -444.7903    -445.3140       0.5237    45.0
0.0070        -444.6455    -445.3425       0.6970    59.9
0.0080        -444.5091    -445.3631       0.8540    73.4
0.0090        -444.3801    -445.3718       0.9917    85.2
0.0100        -444.2576    -445.3652       1.1076    95.2
0.0110        -444.1404    -445.3410       1.2006   103.2
0.0120        -444.0274    -445.2975       1.2701   109.2
0.0130        -443.9175    -445.2340       1.3165   113.2
0.0140        -443.8093    -445.1507       1.3414   115.3
0.0150        -443.7020    -445.0490       1.3469   115.8
0.0160        -443.5948    -444.9312       1.3365   114.9
0.0170        -443.4867    -444.8007       1.3140   113.0
0.0180        -443.3773    -444.6617       1.2844   110.4
0.0190        -443.2663    -444.5192       1.2529   107.7
0.0200        -443.1539    -444.3791       1.2253   105.3
0.0210        -443.0402    -444.2475       1.2073   103.8
0.0220        -442.9259    -444.1305       1.2046   103.5
0.0230        -442.8119    -444.0341       1.2221   105.1
0.0240        -442.6992    -443.9629       1.2637   108.6
0.0250        -442.5892    -443.9207       1.3315   114.5
0.0260        -442.4831    -443.9090       1.4259   122.6
0.0270        -442.3822    -443.9271       1.5450   132.8
0.0280        -442.2876    -443.9723       1.6847   144.8
0.0290        -442.2004    -444.0400       1.8395   158.1
0.0300        -442.1212    -444.1239       2.0028   172.2
0.0310        -442.0501    -444.2174       2.1673   186.3
0.0320        -441.9872    -444.3135       2.3263   200.0
0.0330        -441.9320    -444.4059       2.4738   212.6
0.0340        -441.8839    -444.4889       2.6050   223.9
0.0350        -441.8419    -444.5582       2.7163   233.5
0.0360        -441.8052    -444.6106       2.8054   241.2
0.0370        -441.7724    -444.6440       2.8716   246.8
0.0380        -441.7424    -444.6572       2.9148   250.6
0.0390        -441.7141    -444.6503       2.9362   252.4
0.0400        -441.6866    -444.6239       2.9373   252.5
0.0410        -441.6586    -444.5791       2.9205   251.0
0.0420        -441.6295    -444.5179       2.8883   248.3
0.0430        -441.5987    -444.4424       2.8437   244.4
0.0440        -441.5653    -444.3551       2.7898   239.8
0.0450        -441.5290    -444.2591       2.7301   234.7
0.0460        -441.4898    -444.1576       2.6678   229.3
0.0470        -441.4474    -444.0540       2.6066   224.1
0.0480        -441.4021    -443.9517       2.5496   219.2
0.0490        -441.3540    -443.8541       2.5001   214.9
0.0500        -441.3037    -443.7648       2.4610   211.6
0.0510        -441.2517    -443.6866       2.4349   209.3
0.0520        -441.1987    -443.6223       2.4237   208.3
0.0530        -441.1454    -443.5744       2.4290   208.8
0.0540        -441.0926    -443.5446       2.4519   210.8
0.0550        -441.0415    -443.5342       2.4927   214.3
0.0560        -440.9927    -443.5437       2.5510   219.3
0.0570        -440.9472    -443.5731       2.6258   225.7
0.0580        -440.9057    -443.6213       2.7155   233.4
0.0590        -440.8691    -443.6867       2.8176   242.2
0.0600        -440.8376    -443.7665       2.9289   251.8
0.0610        -440.8119    -443.8573       3.0454   261.8
0.0620        -440.7921    -443.9548       3.1627   271.9
0.0630        -440.7779    -444.0536       3.2757   281.6
0.0640        -440.7694    -444.1483       3.3790   290.5
0.0650        -440.7657    -444.2326       3.4668   298.0
0.0660        -440.7660    -444.2998       3.5338   303.8
0.0670        -440.7691    -444.3438       3.5746   307.3
0.0680        -440.7737    -444.3583       3.5847   308.1
0.0690        -440.7781    -444.3382       3.5601   306.0
0.0700        -440.7805    -444.2787       3.4982   300.7
0.0710        -440.7791    -444.1766       3.3975   292.1
0.0720        -440.7719    -444.0301       3.2582   280.1
0.0730        -440.7569    -443.8388       3.0819   264.9
0.0740        -440.7323    -443.6047       2.8723   246.9
0.0750        -440.6967    -443.3315       2.6348   226.5
0.0760        -440.6489    -443.0255       2.3765   204.3
0.0770        -440.5879    -442.6944       2.1065   181.1
0.0780        -440.5132    -442.3486       1.8354   157.8
0.0790        -440.4252    -442.0003       1.5751   135.4
0.0800        -440.3245    -441.6631       1.3385   115.1
0.0810        -440.2127    -441.3511       1.1384    97.9
0.0820        -440.0919    -441.0786       0.9868    84.8
0.0830        -439.9645    -440.8589       0.8944    76.9
0.0840        -439.8340    -440.7046       0.8706    74.8
0.0850        -439.7037    -440.6257       0.9221    79.3
0.0860        -439.5776    -440.6281       1.0505    90.3
0.0870        -439.4594    -440.7099       1.2506   107.5
0.0880        -439.3524    -440.8610       1.5085   129.7
0.0890        -439.2592    -441.0634       1.8042   155.1
0.0900        -439.1811    -441.2947       2.1136   181.7
0.0910        -439.1184    -441.5309       2.4125   207.4
0.0920        -439.0702    -441.7493       2.6792   230.3
0.0930        -439.0342    -441.9310       2.8968   249.0
0.0940        -439.0079    -442.0621       3.0542   262.5
0.0950        -438.9883    -442.1351       3.1468   270.5
0.0960        -438.9720    -442.1486       3.1766   273.1
0.0970        -438.9559    -442.1075       3.1516   270.9
0.0980        -438.9378    -442.0230       3.0853   265.2
0.0990        -438.9157    -441.9101       2.9944   257.4
0.1000        -438.8889    -441.7864       2.8974   249.1
0.1010        -438.8575    -441.6702       2.8127   241.8
0.1020        -438.8223    -441.5783       2.7560   236.9
0.1030        -438.7850    -441.5246       2.7396   235.5
0.1040        -438.7479    -441.5188       2.7708   238.2
0.1050        -438.7135    -441.5654       2.8519   245.1
0.1060        -438.6839    -441.6638       2.9798   256.1
0.1070        -438.6616    -441.8084       3.1468   270.5
0.1080        -438.6483    -441.9897       3.3414   287.2
0.1090        -438.6451    -442.1951       3.5500   305.2
0.1100        -438.6523    -442.4114       3.7591   323.1
0.1110        -438.6698    -442.6268       3.9569   340.1
0.1120        -438.6967    -442.8323       4.1356   355.5
0.1130        -438.7323    -443.0235       4.2912   368.9
0.1140        -438.7751    -443.1981       4.4230   380.2
0.1150        -438.8240    -443.3557       4.5317   389.5
0.1160        -438.8778    -443.4959       4.6180   397.0
0.1170        -438.9356    -443.6182       4.6825   402.5
0.1180        -438.9962    -443.7226       4.7263   406.3
0.1190        -439.0586    -443.8103       4.7518   408.5
0.1200        -439.1219    -443.8839       4.7620   409.3
0.1210        -439.1856    -443.9457       4.7602   409.2
0.1220        -439.2488    -443.9971       4.7482   408.2
0.1230        -439.3113    -444.0378       4.7265   406.3
0.1240        -439.3726    -444.0659       4.6934   403.4
0.1250        -439.4319    -444.0775       4.6456   399.3
0.1260        -439.4884    -444.0676       4.5791   393.6
0.1270        -439.5412    -444.0316       4.4903   386.0
0.1280        -439.5891    -443.9668       4.3777   376.3
0.1290        -439.6308    -443.8731       4.2423   364.7
0.1300        -439.6654    -443.7534       4.0880   351.4
0.1310        -439.6920    -443.6128       3.9207   337.0
0.1320        -439.7101    -443.4582       3.7481   322.2
0.1330        -439.7195    -443.2980       3.5785   307.6
0.1340        -439.7207    -443.1412       3.4205   294.0
0.1350        -439.7144    -442.9971       3.2827   282.2
0.1360        -439.7016    -442.8742       3.1726   272.7
0.1370        -439.6841    -442.7806       3.0965   266.2
0.1380        -439.6635    -442.7224       3.0589   262.9
0.1390        -439.6419    -442.7040       3.0622   263.2
0.1400        -439.6212    -442.7275       3.1063   267.0
0.1410        -439.6035    -442.7926       3.1890   274.1
0.1420        -439.5907    -442.8964       3.3057   284.2
0.1430        -439.5843    -443.0341       3.4498   296.5
0.1440        -439.5855    -443.1987       3.6132   310.6
0.1450        -439.5951    -443.3822       3.7871   325.5
0.1460        -439.6135    -443.5757       3.9621   340.6
0.1470        -439.6405    -443.7697       4.1293   354.9
0.1480        -439.6756    -443.9557       4.2802   367.9
0.1490        -439.7178    -444.1256       4.4078   378.9
0.1500        -439.7658    -444.2722       4.5064   387.4
0.1510        -439.8180    -444.3903       4.5722   393.0
0.1520        -439.8729    -444.4758       4.6029   395.7
0.1530        -439.9286    -444.5268       4.5982   395.3
0.1540        -439.9834    -444.5425       4.5591   391.9
0.1550        -440.0355    -444.5240       4.4884   385.8
0.1560        -440.0836    -444.4737       4.3901   377.4
0.1570        -440.1263    -444.3953       4.2690   367.0
0.1580        -440.1625    -444.2936       4.1311   355.1
0.1590        -440.1915    -444.1741       3.9825   342.3
0.1600        -440.2132    -444.0428       3.8296   329.2
0.1610        -440.2270    -443.9052       3.6782   316.2
0.1620        -440.2335    -443.7666       3.5331   303.7
0.1630        -440.2329    -443.6314       3.3985   292.1
0.1640        -440.2258    -443.5030       3.2771   281.7
0.1650        -440.2130    -443.3841       3.1711   272.6
0.1660        -440.1952    -443.2769       3.0817   264.9
0.1670        -440.1733    -443.1831       3.0098   258.7
0.1680        -440.1481    -443.1042       2.9561   254.1
0.1690        -440.1207    -443.0416       2.9209   251.1
0.1700        -440.0918    -442.9958       2.9041   249.6
0.1710        -440.0624    -442.9673       2.9048   249.7
0.1720        -440.0335    -442.9553       2.9219   251.2
0.1730        -440.0056    -442.9586       2.9530   253.8
0.1740        -439.9796    -442.9749       2.9953   257.5
0.1750        -439.9559    -443.0013       3.0454   261.8
0.1760        -439.9347    -443.0343       3.0996   266.4
0.1770        -439.9163    -443.0701       3.1538   271.1
0.1780        -439.9005    -443.1045       3.2040   275.4
0.1790        -439.8871    -443.1332       3.2461   279.0
0.1800        -439.8756    -443.1522       3.2767   281.7
0.1810        -439.8653    -443.1577       3.2924   283.0
0.1820        -439.8554    -443.1460       3.2906   282.9
0.1830        -439.8452    -443.1143       3.2692   281.0
0.1840        -439.8334    -443.0604       3.2270   277.4
0.1850        -439.8190    -442.9824       3.1634   271.9
0.1860        -439.8011    -442.8799       3.0789   264.7
0.1870        -439.7785    -442.7534       2.9750   255.7
0.1880        -439.7504    -442.6045       2.8541   245.3
0.1890        -439.7159    -442.4361       2.7201   233.8
0.1900        -439.6746    -442.2525       2.5778   221.6
0.1910        -439.6261    -442.0592       2.4332   209.2
0.1920        -439.5704    -441.8633       2.2929   197.1
0.1930        -439.5079    -441.6725       2.1647   186.1
0.1940        -439.4393    -441.4956       2.0563   176.8
0.1950        -439.3658    -441.3413       1.9754   169.8
0.1960        -439.2891    -441.2182       1.9292   165.8
0.1970        -439.2107    -441.1337       1.9231   165.3
0.1980        -439.1329    -441.0934       1.9605   168.5
0.1990        -439.0579    -441.1000       2.0421   175.5
0.2000        -438.9878    -441.1530       2.1652   186.1
0.2010        -438.9246    -441.2485       2.3239   199.8
0.2020        -438.8700    -441.3797       2.5097   215.7
0.2030        -438.8250    -441.5371       2.7121   233.1
0.2040        -438.7903    -441.7101       2.9199   251.0
0.2050        -438.7659    -441.8877       3.1218   268.3
0.2060        -438.7513    -442.0590       3.3077   284.3
0.2070        -438.7455    -442.2145       3.4690   298.2
0.2080        -438.7472    -442.3463       3.5991   309.4
0.2090        -438.7547    -442.4480       3.6933   317.5
0.2100        -438.7662    -442.5154       3.7492   322.3
0.2110        -438.7796    -442.5458       3.7661   323.7
0.2120        -438.7932    -442.5382       3.7450   321.9
0.2130        -438.8049    -442.4927       3.6879   317.0
0.2140        -438.8131    -442.4108       3.5977   309.3
0.2150        -438.8162    -442.2943       3.4781   299.0
0.2160        -438.8128    -442.1462       3.3334   286.5
0.2170        -438.8017    -441.9698       3.1682   272.3
0.2180        -438.7821    -441.7693       2.9872   256.8
0.2190        -438.7531    -441.5487       2.7956   240.3
0.2200        -438.7144    -441.3126       2.5982   223.3
0.2210        -438.6658    -441.0657       2.3999   206.3
0.2220        -438.6074    -440.8126       2.2052   189.6
0.2230        -438.5394    -440.5576       2.0182   173.5
0.2240        -438.4622    -440.3051       1.8429   158.4
0.2250        -438.3766    -440.0590       1.6824   144.6
0.2260        -438.2832    -439.8229       1.5397   132.4
0.2270        -438.1832    -439.6005       1.4174   121.8
0.2280        -438.0775    -439.3951       1.3176   113.3
0.2290        -437.9672    -439.2097       1.2425   106.8
0.2300        -437.8537    -439.0477       1.1940   102.6
0.2310        -437.7384    -438.9122       1.1738   100.9
0.2320        -437.6227    -438.8063       1.1836   101.7
0.2330        -437.5080    -438.7328       1.2248   105.3
0.2340        -437.3961    -438.6938       1.2977   111.6
0.2350        -437.2885    -438.6904       1.4019   120.5
0.2360        -437.1866    -438.7217       1.5351   132.0
0.2370        -437.0920    -438.7855       1.6936   145.6
0.2380        -437.0056    -438.8774       1.8718   160.9
0.2390        -436.9286    -438.9919       2.0633   177.4
0.2400        -436.8612    -439.1224       2.2613   194.4
0.2410        -436.8037    -439.2625       2.4587   211.4
0.2420        -436.7560    -439.4054       2.6493   227.7
0.2430        -436.7176    -439.5449       2.8273   243.0
0.2440        -436.6878    -439.6753       2.9875   256.8
0.2450        -436.6655    -439.7911       3.1256   268.7
0.2460        -436.6497    -439.8876       3.2379   278.3
0.2470        -436.6389    -439.9610       3.3221   285.6
0.2480        -436.6317    -440.0090       3.3773   290.3
0.2490        -436.6267    -440.0305       3.4039   292.6
0.2500        -436.6225    -440.0266       3.4041   292.6
0.2510        -436.6178    -439.9995       3.3817   290.7
0.2520        -436.6116    -439.9535       3.3418   287.3
0.2530        -436.6032    -439.8940       3.2908   282.9
0.2540        -436.5922    -439.8280       3.2359   278.2
